id,category,name,vendor,vendor_site,material,capacity_ml,finish,price_krw,moq,lead_time_days,note
PKG-0001,자,라운드 크림 자 50mL,연우,yonwookorea.com,PP,50,유광,650,10000,15,실제 벤더/카테고리 반영·수치는 추정
PKG-0002,자,라이트 크림 자 30mL,연우,yonwookorea.com,PP,30,무광,480,10000,14,친환경 단일소재 라인 참고
PKG-0003,자,에어리스 자 50mL,연우,yonwookorea.com,PCTG,50,유광,1350,5000,25,연우 에어리스 국내 최초 개발 라인
PKG-0004,병,토너 스킨 병 150mL,연우,yonwookorea.com,PET,150,투명,390,8000,12,
PKG-0005,병,로션 병 120mL,연우,yonwookorea.com,PET,120,유광,360,8000,12,
PKG-0006,튜브,클렌징 튜브 100mL,연우,yonwookorea.com,PP,100,유광,290,15000,10,
PKG-0007,튜브,핸드크림 튜브 50mL,연우,yonwookorea.com,PP,50,무광,240,20000,9,
PKG-0008,견본용기,샘플 파우치형 용기 5mL,연우,yonwookorea.com,PP,5,투명,120,30000,7,견본(샘플)용기 전용 라인
PKG-0009,펌프,디스펜서 펌프 로션 150mL,연우,yonwookorea.com,PP,150,무광,780,5000,20,펌프형 용기 업계 1위 라인
PKG-0010,펌프,에어리스 펌프 30mL,연우,yonwookorea.com,PCTG,30,유광,1150,5000,24,
PKG-0011,콤팩트,쿠션 컴팩트 15g,삼화,e-samhwa.com,ABS,15,유광,1450,5000,28,JMH Pact 라인 참고
PKG-0012,콤팩트,쿠션 컴팩트 돔타입 15g,삼화,e-samhwa.com,PP,15,유광,1580,5000,28,
PKG-0013,앰플,버튼형 앰플 용기 1.5mL,삼화,samhwakorea.com,PP,1.5,투명,310,20000,14,Button Ampoule 참고
PKG-0014,앰플,메디 앰플 용기 5mL,삼화,samhwakorea.com,PP,5,투명,340,20000,14,Medi Ampoule 라인 참고
PKG-0015,앰플,메디 앰플 용기 10mL,삼화,samhwakorea.com,PP,10,투명,380,15000,14,
PKG-0016,스틱,립스틱 스틱 용기 3.5g,삼화,e-samhwa.com,ABS,3.5,메탈릭,720,10000,22,
PKG-0017,콤팩트,투웨이 컴팩트 12g,삼화,e-samhwa.com,PP,12,유광,1100,6000,26,
PKG-0018,펌프,포밍 펌프 클렌저 150mL,펌텍코리아,pumtech.com,PP,150,무광,820,5000,21,
PKG-0019,펌프,로션 펌프 200mL,펌텍코리아,pumtech.com,PP,200,유광,690,6000,18,
PKG-0020,튜브,선크림 튜브 50mL,펌텍코리아,pumtech.com,PP,50,유광,270,20000,9,
PKG-0021,튜브,BB 튜브 30mL,펌텍코리아,pumtech.com,PP,30,무광,300,15000,10,
PKG-0022,콤팩트,파우더 콤팩트 10g,펌텍코리아,pumtech.com,PP,10,유광,890,8000,20,
PKG-0023,드롭퍼,세럼 드롭퍼 병 15mL,펌텍코리아,pumtech.com,Glass,15,앰버,680,10000,20,스포이드류 라인 참고
PKG-0024,드롭퍼,세럼 드롭퍼 병 30mL,펌텍코리아,pumtech.com,Glass,30,투명,760,10000,20,
PKG-0025,스틱,컨실러 스틱 용기 5g,펌텍코리아,pumtech.com,PP,5,유광,560,12000,17,
